num_task,cpu-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%)
14,10,1080,109.65,84768.21,116161.57,2919.50,46384.00,28.14,23.33,0.00,77.30,545.91,95.78,95.65
14,10,1080,110.01,84670.07,115481.29,2862.36,44612.07,27.82,23.27,0.00,76.13,546.88,94.65,95.47
14,10,1080,111.22,85790.48,115501.71,2892.86,44283.57,27.72,23.27,0.00,76.69,546.37,94.72,95.75
15,10,1080,111.55,82431.20,113404.40,3196.93,48355.80,22.49,23.13,0.00,75.09,537.31,88.09,94.81
15,10,1080,102.31,78416.05,107591.60,2709.27,47312.87,26.35,23.15,0.00,75.42,531.86,87.40,94.25
15,10,1080,104.57,79872.26,108915.27,2756.40,46743.13,24.70,23.14,0.00,75.86,535.62,91.33,94.69
16,10,1080,99.78,76404.47,102375.06,2620.19,50982.00,23.70,22.26,0.00,73.00,525.27,86.15,93.08
16,10,1080,103.66,79031.76,102716.44,2556.12,49261.06,23.48,21.72,0.00,73.56,522.74,86.69,93.17
16,10,1080,101.64,77403.00,102528.38,2590.31,48432.38,23.37,22.25,0.00,72.66,527.89,84.66,93.49
17,10,1080,91.21,69736.99,96081.94,2425.29,46113.82,23.19,21.74,0.00,70.03,524.55,84.03,94.09
17,10,1080,95.37,72172.54,96397.06,2490.18,49799.71,22.02,21.76,0.00,69.32,526.17,83.21,94.13
17,10,1080,95.49,71130.77,98086.29,2473.29,50257.41,20.72,21.09,0.00,71.63,520.12,79.81,92.82
18,10,1080,98.48,67761.30,95575.50,2832.00,51452.33,16.89,21.20,0.00,67.54,507.74,77.35,93.47
18,10,1080,90.39,67588.72,91693.28,2447.67,50513.61,19.67,20.57,0.00,68.04,511.05,77.88,92.69
18,10,1080,87.57,65639.46,90324.67,2369.44,49002.61,21.27,21.49,0.00,67.68,521.56,80.14,94.79
19,10,1080,89.02,65721.19,87988.63,2299.63,51279.47,19.47,21.16,0.00,66.80,510.75,77.31,94.86
19,10,1080,107.29,69981.50,103446.11,3759.58,67620.11,12.71,19.91,0.00,66.70,491.12,77.40,93.09
19,10,1080,83.98,62158.53,87506.58,2386.21,53141.53,18.66,20.15,0.00,66.65,507.77,77.63,93.63
20,10,1080,82.70,57903.37,83955.80,2331.75,50290.60,16.42,19.52,0.00,60.52,491.23,74.48,94.34
20,10,1080,79.51,58481.92,82203.60,2115.20,50063.30,18.94,19.85,0.00,64.53,490.04,74.01,92.88
20,10,1080,79.73,57779.53,83292.75,2255.80,51987.25,18.46,18.89,0.00,62.88,497.64,75.82,93.98
45,15,480,135.33,44614.06,116874.96,5459.62,46263.24,24.50,23.75,0.00,33.07,256.86,98.40,64.86
34,15,480,101.36,43823.15,118476.97,6945.79,35702.15,34.46,23.76,0.00,43.44,260.34,97.40,50.70
34,15,480,102.46,44455.37,118335.18,6797.26,31054.32,33.62,23.79,0.00,43.63,259.62,97.86,50.59
34,15,480,100.81,43316.78,117716.97,6973.97,39502.12,34.03,23.76,0.00,43.52,259.90,97.62,50.56
36,15,480,105.63,43385.80,117988.11,6707.17,36049.50,33.05,23.78,0.00,41.23,259.47,97.74,53.31
36,15,480,104.51,42890.02,117762.81,6872.25,38515.86,32.89,23.75,0.00,41.19,259.62,97.74,53.28
36,15,480,105.07,43061.64,117980.58,6668.69,32617.44,33.44,23.81,0.00,41.19,259.09,97.83,53.22
38,15,480,108.78,42372.04,117332.71,6444.53,31783.29,32.15,23.80,0.00,39.13,259.39,97.90,55.96
38,15,480,109.59,42671.36,117726.18,6432.89,32212.79,32.07,23.80,0.00,39.12,259.26,98.11,55.96
38,15,480,108.88,42362.43,117533.79,6412.53,30035.16,32.53,23.81,0.00,39.11,259.55,97.91,56.05
39,15,480,113.40,43051.60,117209.87,6211.33,34159.77,30.67,23.80,0.00,38.11,259.44,97.99,57.41
39,15,480,113.44,43008.85,117264.18,6083.28,34229.21,31.24,23.79,0.00,38.09,259.96,98.20,57.50
39,15,480,104.98,39699.14,116791.10,6507.26,32391.82,33.21,23.78,0.00,38.06,259.25,97.87,57.36
40,15,480,107.07,39288.63,116685.32,6262.85,34174.40,32.39,23.79,0.00,37.09,259.01,97.93,58.67
40,15,480,109.60,40513.56,117053.25,6400.40,34223.38,31.97,23.79,0.00,37.09,259.36,98.01,58.76
40,15,480,117.86,43435.77,116989.18,6051.30,34501.03,29.68,23.80,0.00,37.31,259.79,98.11,58.75
41,15,480,117.80,42706.00,116879.39,5956.20,32295.51,29.46,23.78,0.00,36.35,259.74,98.25,60.11
41,15,480,116.23,42070.91,116566.15,6111.98,32218.73,29.69,23.81,0.00,36.35,259.71,98.02,60.10
41,15,480,117.87,42784.86,116873.22,5882.76,28057.22,29.67,23.80,0.00,36.43,259.86,98.30,60.11
